Weekipedia_ID,Freebase_ID,Name,Release_date,Revenue,Runtime,Language,Countries,Genres,Release_year,Language_clean,Genres_clean,Countries_clean
33023297,/m/0crzp9h,Seytan,1974,,101.0,{},"{""/m/01znc_"": ""Turkey""}","{""/m/03npn"": ""Horror"", ""/m/03q4nz"": ""World cinema""}",1974.0,[],"['Horror', 'World cinema']",['Turkey']
18053600,/m/047th9v,La llamada,2008-03-30,,3.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/06mkj"": ""Spain""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/07s9rl0"": ""Drama"", ""/m/02hmvc"": ""Short Film""}",2008.0,['Spanish'],"['Thriller', 'Horror', 'Drama', 'Short Film']",['Spain']
5469928,/m/0dn94_,Four Flies on Grey Velvet,1972,,102.0,"{""/m/02bjrlw"": ""Italian Language""}","{""/m/0f8l9c"": ""France"", ""/m/03rjj"": ""Italy""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/03q4nz"": ""World cinema"", ""/m/09blyk"": ""Psychological thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/05tnmt"": ""Giallo"", ""/m/02wtdps"": ""Crime Thriller""}",1972.0,['Italian'],"['Crime Fiction', 'Thriller', 'Horror', 'World cinema', 'Psychological thriller', 'Mystery', 'Giallo', 'Crime Thriller']","['France', 'Italy']"
5125134,/m/0d3vw_,Dance of the Dead,2005,,59.0,{},{},"{""/m/01q03"": ""Cult"", ""/m/0jb4p32"": ""Zombie Film"", ""/m/03npn"": ""Horror"", ""/m/015w9s"": ""Television movie""}",2005.0,[],"['Cult', 'Zombie Film', 'Horror', 'Television movie']",[]
33412374,/m/0h98td6,Las Vegas Bloodbath,1989,,78.0,{},{},"{""/m/03npn"": ""Horror""}",1989.0,[],['Horror'],[]
14076924,/m/03csv6x,Frightmare,1974,,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0qdzd"": ""B-movie"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher""}",1974.0,['English'],"['B-movie', 'Horror', 'Slasher']",['United Kingdom']
24292756,/m/07s83qp,Eyes of a Stranger,1981-02-11,,84.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/09blyk"": ""Psychological thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/01585b"": ""Slasher""}",1981.0,['English'],"['Thriller', 'Horror', 'Psychological thriller', 'Mystery', 'Crime Thriller', 'Slasher']",['United States of America']
7153927,/m/0h73_g,Puppet Master 5: The Final Chapter,1994-09-21,,82.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror""}",1994.0,['English'],['Horror'],['United States of America']
6847340,/m/0gsc8r,The Living Dead,1932-09-07,,89.0,"{""/m/04306rv"": ""German Language""}","{""/m/084n_"": ""Weimar Republic"", ""/m/0345h"": ""Germany""}","{""/m/06ppq"": ""Silent film"", ""/m/03npn"": ""Horror"", ""/m/0219x_"": ""Indie"", ""/m/06n90"": ""Science Fiction"", ""/m/01g6gs"": ""Black-and-white"", ""/m/02n4kr"": ""Mystery"", ""/m/0vgkd"": ""Black comedy""}",1932.0,['German'],"['Silent film', 'Horror', 'Indie', 'Science Fiction', 'Black-and-white', 'Mystery', 'Black comedy']","['Weimar Republic', 'Germany']"
36406869,/m/0k9f_3f,Sella Turcica,2010-10-13,,106.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror""}",2010.0,['English'],"['Thriller', 'Horror']",['United States of America']
9208103,/m/02809_l,Condemned to Live,1935,,66.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/03npn"": ""Horror"", ""/m/01g6gs"": ""Black-and-white""}",1935.0,['English'],"['Thriller', 'Mystery', 'Horror', 'Black-and-white']",['United States of America']
36036213,/m/0d6np27,Buried Alive,1990-05-09,,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror""}",1990.0,['English'],"['Thriller', 'Horror']",['United States of America']
1612686,/m/05gmn3,Halloween Resurrection,2002-07-12,37664855.0,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen""}",2002.0,['English'],"['Cult', 'Horror', 'Slasher', 'Teen']",['United States of America']
9569532,/m/02pkc6k,The Infernal Boiling Pot,1903,,1.0,"{""/m/06ppq"": ""Silent film""}","{""/m/0f8l9c"": ""France""}","{""/m/02hmvc"": ""Short Film"", ""/m/06ppq"": ""Silent film"", ""/m/03npn"": ""Horror"", ""/m/0219x_"": ""Indie"", ""/m/01g6gs"": ""Black-and-white""}",1903.0,['Silent film'],"['Short Film', 'Silent film', 'Horror', 'Indie', 'Black-and-white']",['France']
